rank_auc,source,name,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std,n_splits,imputation_method
1,ensemble,weighted_avg,0.781976,0.137355,0.858245,0.093794,0.13818,0.026646,0.236139,0.035568,0.876422,0.095179,4,linear_time
2,model,gru,0.777919,0.134205,0.694469,0.269786,0.14212,0.042854,0.229742,0.070297,0.874853,0.097827,4,linear_time
3,ensemble,soft_vote,0.781177,0.136879,0.824155,0.086805,0.139515,0.027042,0.236772,0.036018,0.874025,0.094103,4,linear_time
4,ensemble,stacked,0.774742,0.092798,0.5251,0.22835,0.786036,0.252738,0.574391,0.186152,0.871786,0.095329,4,linear_time
5,model,lstm,0.776482,0.155192,0.704835,0.259959,0.160751,0.092094,0.256064,0.129251,0.862852,0.115708,4,linear_time
6,model,xgboost,0.77966,0.131455,0.678222,0.120202,0.164074,0.041852,0.261441,0.055355,0.6983,0.135825,4,linear_time
7,model,transformer,0.245489,0.153381,0.245489,0.153381,1.0,0.0,0.375192,0.206569,0.5,0.0,4,linear_time
1,model,gru,0.777919,0.134205,0.694469,0.269786,0.14212,0.042854,0.229742,0.070297,0.874829,0.097826,4,polynomial2_time
2,ensemble,weighted_avg,0.78008,0.137935,0.841534,0.091878,0.13276,0.023581,0.227587,0.029837,0.873127,0.096469,4,polynomial2_time
3,ensemble,stacked,0.773941,0.091872,0.523509,0.227554,0.786507,0.253182,0.573342,0.185884,0.87127,0.095876,4,polynomial2_time
4,ensemble,soft_vote,0.77948,0.137784,0.801232,0.082092,0.138396,0.020403,0.234676,0.025456,0.870921,0.095508,4,polynomial2_time
5,model,lstm,0.776482,0.155192,0.704835,0.259959,0.160751,0.092094,0.256064,0.129251,0.862824,0.115707,4,polynomial2_time
6,model,xgboost,0.777264,0.133153,0.667106,0.100848,0.15622,0.036221,0.251209,0.047749,0.696539,0.112275,4,polynomial2_time
7,model,transformer,0.245489,0.153381,0.245489,0.153381,1.0,0.0,0.375192,0.206569,0.5,0.0,4,polynomial2_time
1,model,gru,0.77802,0.134361,0.694271,0.270156,0.140359,0.043068,0.227991,0.071524,0.874893,0.097829,4,climatological_month_day
2,ensemble,stacked,0.774152,0.091211,0.521332,0.223719,0.79053,0.254771,0.574186,0.183342,0.870907,0.096987,4,climatological_month_day
3,ensemble,weighted_avg,0.780567,0.143592,0.800697,0.128884,0.156537,0.03539,0.259977,0.052181,0.866238,0.10166,4,climatological_month_day
4,model,lstm,0.776885,0.155576,0.717208,0.25189,0.15723,0.093723,0.252502,0.131193,0.86293,0.115685,4,climatological_month_day
5,ensemble,soft_vote,0.780263,0.144507,0.779226,0.118816,0.16309,0.042214,0.267518,0.06108,0.860892,0.097965,4,climatological_month_day
6,model,xgboost,0.767215,0.135116,0.558101,0.19924,0.176602,0.042881,0.258018,0.058875,0.653577,0.102143,4,climatological_month_day
7,model,transformer,0.245489,0.153381,0.245489,0.153381,1.0,0.0,0.375192,0.206569,0.5,0.0,4,climatological_month_day
1,model,gru,0.777919,0.134205,0.694469,0.269786,0.14212,0.042854,0.229742,0.070297,0.874853,0.097827,4,hybrid_adaptive
2,ensemble,stacked,0.772436,0.090469,0.521195,0.227909,0.789019,0.251938,0.572363,0.186719,0.87278,0.097438,4,hybrid_adaptive
3,ensemble,weighted_avg,0.780961,0.137829,0.79768,0.149233,0.137073,0.030583,0.232603,0.047027,0.868781,0.09488,4,hybrid_adaptive
4,ensemble,soft_vote,0.779754,0.136445,0.7418,0.213618,0.139613,0.034484,0.232816,0.055101,0.865324,0.092114,4,hybrid_adaptive
5,model,lstm,0.776482,0.155192,0.704835,0.259959,0.160751,0.092094,0.256064,0.129251,0.862852,0.115708,4,hybrid_adaptive
6,model,xgboost,0.770023,0.12692,0.580999,0.271012,0.151465,0.040952,0.231667,0.069495,0.665961,0.083219,4,hybrid_adaptive
7,model,transformer,0.245489,0.153381,0.245489,0.153381,1.0,0.0,0.375192,0.206569,0.5,0.0,4,hybrid_adaptive
