method_key,method_name,split_num,cutoff_date,test_start,test_end,n_train,n_test,rmse,mae,r2,f1,auc
linear_interpolation,Linear Interpolation,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.31082508808597065,0.22870675284615413,0.14322563408494182,0.0,0.7796885139519791
linear_interpolation,Linear Interpolation,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.276625894045526,0.1842325538977,-0.017191104056728967,0.0,0.7520138089758343
linear_interpolation,Linear Interpolation,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.2629594981386091,0.1835987845771171,-0.22634059679403906,0.0,0.1
linear_interpolation,Linear Interpolation,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.3633086376800683,0.254669319502789,-0.19505719801496868,0.0,0.7580645161290323
climatological,Climatological Substitution,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.33948425161105084,0.29239269263383316,-0.02205342633161078,0.4406779661016949,0.6800778715120052
climatological,Climatological Substitution,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.2768183532535217,0.21696198016087084,-0.018606993892432477,0.0,0.6789413118527042
climatological,Climatological Substitution,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.5352540293966639,0.41772163668300544,-4.081047695852787,0.10526315789473684,0.6705882352941176
climatological,Climatological Substitution,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.5194392637498518,0.4350711436862997,-1.4429062123675598,0.5294117647058824,0.6906682027649769
cross_location_regression,Cross-Location Regression,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.3617168726676656,0.254237607881819,-0.16030421036802833,0.0,0.5149253731343284
cross_location_regression,Cross-Location Regression,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.3020011270480866,0.20131609126516214,-0.21236675735826283,0.0,0.46202531645569617
cross_location_regression,Cross-Location Regression,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.2556491263616571,0.1795590000800968,-0.1591029384829068,0.0,0.34705882352941175
cross_location_regression,Cross-Location Regression,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.3390913470697943,0.29159572209840223,-0.04104777557325301,0.0,0.4881912442396314
cross_location_knn,Cross-Location KNN,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.3617168726676656,0.254237607881819,-0.16030421036802833,0.0,0.5149253731343284
cross_location_knn,Cross-Location KNN,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.3020011270480866,0.20131609126516214,-0.21236675735826283,0.0,0.46202531645569617
cross_location_knn,Cross-Location KNN,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.2556491263616571,0.1795590000800968,-0.1591029384829068,0.0,0.34705882352941175
cross_location_knn,Cross-Location KNN,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.3390913470697943,0.29159572209840223,-0.04104777557325301,0.0,0.4881912442396314
distance_weighted,Distance-Weighted Average,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.3617168726676656,0.254237607881819,-0.16030421036802833,0.0,0.5149253731343284
distance_weighted,Distance-Weighted Average,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.2983840097860503,0.19849110263507927,-0.18349924152117003,0.0,0.5
distance_weighted,Distance-Weighted Average,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.2558634574608763,0.1799680945726912,-0.1610472904982807,0.0,0.34705882352941175
distance_weighted,Distance-Weighted Average,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.34082711863521,0.29595838394257945,-0.05173307388366544,0.0,0.5420506912442397
advection,Advection-Based,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.36063538773456255,0.2539597442733527,-0.15337627475242388,0.0,0.5149253731343284
advection,Advection-Based,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.2983623200002062,0.19847010126962958,-0.18332718865458197,0.0,0.5
advection,Advection-Based,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.25479374345439704,0.17966497875164963,-0.15135937094842777,0.0,0.34705882352941175
advection,Advection-Based,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.3405992284116647,0.29533942613164776,-0.050327085083757384,0.0,0.5218894009216589
eof_pca,EOF/PCA Spatial Modes,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.3617168726676656,0.254237607881819,-0.16030421036802833,0.0,0.5149253731343284
eof_pca,EOF/PCA Spatial Modes,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.3020011270480866,0.20131609126516214,-0.21236675735826283,0.0,0.46202531645569617
eof_pca,EOF/PCA Spatial Modes,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.2556491263616571,0.1795590000800968,-0.1591029384829068,0.0,0.34705882352941175
eof_pca,EOF/PCA Spatial Modes,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.3390913470697943,0.29159572209840223,-0.04104777557325301,0.0,0.4881912442396314
hybrid_sequential,Hybrid: Sequential Temporal→Spatial,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.31040647205618105,0.22892437381876632,0.14553186982827482,0.0,0.7709279688513951
hybrid_sequential,Hybrid: Sequential Temporal→Spatial,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.27683867460987455,0.18450692070033944,-0.01875655215142702,0.0,0.7508630609896433
hybrid_sequential,Hybrid: Sequential Temporal→Spatial,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.2638537608012238,0.18372571631067233,-0.23469576458975538,0.0,0.15058823529411766
hybrid_sequential,Hybrid: Sequential Temporal→Spatial,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.36533047920398665,0.2572753243104731,-0.20839538617323505,0.0,0.7597926267281105
hybrid_adaptive,Hybrid: Gap-Type Adaptive,1,2019-10-02,2019-10-03,2019-12-31,220,90,0.31040647205618105,0.22892437381876632,0.14553186982827482,0.0,0.7709279688513951
hybrid_adaptive,Hybrid: Gap-Type Adaptive,2,2020-07-02,2020-07-03,2020-09-30,439,90,0.27683867460987455,0.18450692070033944,-0.01875655215142702,0.0,0.7508630609896433
hybrid_adaptive,Hybrid: Gap-Type Adaptive,3,2021-04-02,2021-04-03,2021-07-01,658,90,0.2638537608012238,0.18372571631067233,-0.23469576458975538,0.0,0.15058823529411766
hybrid_adaptive,Hybrid: Gap-Type Adaptive,4,2022-01-01,2022-01-02,2022-04-01,877,90,0.36533047920398665,0.2572753243104731,-0.20839538617323505,0.0,0.7597926267281105
