rank,method_name,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,f1_mean,f1_std,auc_mean,auc_std,n_splits
1,Linear Interpolation,0.30343,0.044708,0.212802,0.034999,-0.073841,0.171539,0.0,0.0,0.597442,0.331841,4
2,Hybrid: Gap-Type Adaptive,0.304107,0.045284,0.213608,0.035969,-0.079079,0.177978,0.0,0.0,0.608043,0.30508,4
3,Hybrid: Sequential Temporal→Spatial,0.304107,0.045284,0.213608,0.035969,-0.079079,0.177978,0.0,0.0,0.608043,0.30508,4
4,Advection-Based,0.313598,0.047016,0.231859,0.05278,-0.134597,0.058051,0.0,0.0,0.470968,0.08311,4
5,Distance-Weighted Average,0.314198,0.046976,0.232164,0.052963,-0.139146,0.059261,0.0,0.0,0.476009,0.087711,4
6,Cross-Location KNN,0.314615,0.046382,0.231677,0.050785,-0.143205,0.07249,0.0,0.0,0.45305,0.073888,4
7,EOF/PCA Spatial Modes,0.314615,0.046382,0.231677,0.050785,-0.143205,0.07249,0.0,0.0,0.45305,0.073888,4
8,Cross-Location Regression,0.314615,0.046382,0.231677,0.050785,-0.143205,0.07249,0.0,0.0,0.45305,0.073888,4
9,Climatological Substitution,0.417749,0.129274,0.340537,0.104056,-1.391154,1.914552,0.268838,0.255902,0.680069,0.008236,4
